lddmm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior
p_10,0.973241505605032,0.7612038949763795,0.5788464175291164,0.7989513349724445,0.0626450108741878,0.7029711483202968,0.7775707266964208,0.810591761512939,0.7441139140785086,0.6957746473108744,0.8033843658271871,0.7456418353976155,0.7159050642651346,0.8803845076160215,0.5872359443531509,0.6126855584003088,0.6134371927291276,0.5490533515572,0.8010785415316356,0.0,0.3406844080556319,0.7803812399119623,0.5859578618328704,0.8193138495430027,0.36722605757920973,0.7177808620667107,0.8040328623605962,0.9034290123590486,0.7700653765891426,0.7264581290921651,0.7961630680756999,0.6913776009005178,0.7251067639354759,0.6429779979443486,0.8347902862385957,0.1975308398110074,0.39716311800668525,0.0,0.0036133694343869066,0.0,0.06101694708417129,0.0,0.0,0.0,0.0,0.0,0.0
p_11,0.9687867216017827,0.7340315234218202,0.5956650810649563,0.8746771779004088,0.3647324765280145,0.7068816167692777,0.7755817803552714,0.8534957249950254,0.7667836248341712,0.651197829854454,0.7633235401524895,0.6852687702697219,0.6835303803037382,0.8496273216765335,0.7155765068595792,0.5156940234464218,0.6571992084528631,0.3277909712763977,0.7830112713536521,0.0,0.4190064772191875,0.7287387091704426,0.570319075895139,0.8637089261461657,0.5027455735036878,0.651933411809691,0.7882884256821361,0.8923925418785489,0.7586057109799048,0.6538775504866305,0.7630944537297952,0.7378797376665653,0.6190298495913622,0.5856573666291012,0.8212711773369198,0.19607839292580528,0.5327102778845314,0.0,0.003916449060597591,0.0,0.028089886851407675,0.0,0.0,0.0,0.0,0.0,0.0
p_12,0.9725680222159997,0.7438162821802685,0.5839303334490119,0.8633087824252361,0.12348178012670263,0.7322916475409245,0.7743903291610545,0.8617015336894274,0.7987918206333738,0.7091092092693263,0.8277264310023541,0.7145358987980038,0.6751824802117188,0.882724133694082,0.6643123399408355,0.48192770958112174,0.694117643656286,0.40510637953100953,0.7913578007671689,0.0,0.43775649495378594,0.74905214756116,0.5669777974518977,0.8485971120410803,0.17755101859641817,0.697414118749453,0.7772758074897451,0.8577399295450917,0.788862090781778,0.6602870807854553,0.7564006009856917,0.700770470613895,0.6042296059468503,0.48057553611096737,0.8101397683738695,0.0,0.38677918152757257,0.0,0.002750085930731915,0.0,0.03749999882812504,0.0,0.0,0.0,0.0,0.0,0.0
p_13,0.9766818256925899,0.7773500681066502,0.6112139066380643,0.8361918681683677,0.13348164478885824,0.7034850428070915,0.7814247042325204,0.8109007023169891,0.7856616734769682,0.7840255584792128,0.7883068456183896,0.6536072591800894,0.6341463396649281,0.8748993778128614,0.6937408408062165,0.6357379540256488,0.6135265670844127,0.36560805293874477,0.7976671145826226,0.23809520975057025,0.2469437622623012,0.7842718514516129,0.6053641005885624,0.7978753535425812,0.5046357582474453,0.6600630520647524,0.7726480961079214,0.867259551566063,0.8133122788615179,0.7399367569097199,0.8044419333626164,0.7487684721970742,0.7303231136488751,0.5197827733143308,0.8155033314490501,0.08510636487098619,0.3163636334876033,0.0,0.004145077677253081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_14,0.975361337739131,0.7579006011533115,0.6102002251885965,0.7795531477457325,0.2740676472327177,0.6832704007428109,0.7784142217256221,0.817372928029489,0.7579285417396915,0.7300692537203501,0.7928971225769212,0.6762652675555616,0.5690525673624812,0.8767313486950571,0.7123070827935228,0.6249120323131315,0.6355215439568201,0.6022988459593959,0.8057464077757237,0.18181816115702715,0.22921914068993526,0.7478460452385847,0.5952788406593459,0.7275141049390026,0.279109586651459,0.6668903316163307,0.7767166465642392,0.8387061095721835,0.7214473129105824,0.7298917562615389,0.783533048350342,0.7021296550313072,0.6114570348454608,0.6209912491181396,0.8175011269124933,0.08333331597222583,0.1639004132375476,0.0,0.0,0.0,0.31491711837245534,0.0,0.0,0.0,0.0,0.0,0.0
p_15,0.9639401793172292,0.7371194350599303,0.544827209939626,0.8820856523679184,0.37939109774089697,0.7025511476827162,0.7788201912361891,0.8646662578905902,0.7426035492971981,0.7291685715456246,0.7837459112943814,0.7149519870646036,0.7451428560783674,0.8671804332886174,0.6795033662884014,0.6272752712761823,0.67178699092787,0.47347740202870925,0.8261256795387178,0.5052631047091468,0.44628098910105674,0.716419830752269,0.5193050820910103,0.8639039429863801,0.38744154717807916,0.6540326133059627,0.7499823027749171,0.8747198002025406,0.6711857104893634,0.7199021814146894,0.77651427065093,0.6798660921282964,0.5540789193333083,0.5306513359133014,0.8260536390555042,0.23255808545160803,0.39745222761166776,0.0,0.0014577259368970413,0.0,0.43283581012846245,0.0,0.0,0.0,0.0,0.0,0.0
p_16,0.9679064112427235,0.7162425701350789,0.5629382640478827,0.8365627947737251,0.2649640840784989,0.6369445356123444,0.6960160913122232,0.8133431998557846,0.6692975523950309,0.6227327685068814,0.7071364034198078,0.7199999971485148,0.685727566978783,0.7854471645347003,0.6908812839888345,0.5001264209857739,0.6472819188905102,0.08774834364446736,0.7935661594298711,0.07499999062500116,0.3865065729759487,0.7264681145536758,0.5576848355787062,0.8210227268965256,0.1485319503581006,0.6011357353633958,0.6906750738979638,0.8385107615831816,0.6159891590569253,0.6033416407243223,0.6903171938849808,0.7005830348875466,0.5413849369517721,0.34741035579752705,0.7991558206127719,0.041666657986112916,0.490726017537223,0.0,0.0032362459023261183,0.0,0.1785714232568029,0.0,0.0,0.0,0.0,0.0,0.0
p_17,0.9690125547923787,0.7328730077436276,0.5662239436219462,0.7128164552933903,0.22310756823965758,0.6299687859985912,0.7530647384459179,0.7571572203221902,0.6356493976974597,0.6519007421134094,0.5830377288245119,0.7262931008394644,0.7005899692098267,0.8320600158821662,0.6408250961402449,0.4321953072054257,0.6025877975850841,0.31407034978599024,0.6685788034787188,0.0,0.2903533878667298,0.7337104118488947,0.5623544568715299,0.7209724915590122,0.12891985950418242,0.6115155091134639,0.747404761145123,0.776676134424848,0.6421849889348348,0.6871580080475863,0.6449118455847327,0.6640873521932015,0.4691718342408394,0.44197138080566306,0.7258087910011543,0.0,0.32343749747314454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_18,0.9727365358853571,0.7572053333826206,0.5872250916796656,0.62600464312734,0.13359528355996775,0.7083333331633224,0.7835256871765575,0.7853779305862528,0.6268871306586814,0.7538655021425867,0.799570506801055,0.6776785684032206,0.7140664943374259,0.8810473770867148,0.6037040622479356,0.6199279697000529,0.6837899504349889,0.5943033056635619,0.802027965653751,0.3421052181440502,0.1610268359273415,0.7692570475838093,0.5857101598006272,0.7060232711276324,0.3145161264958377,0.697573376312093,0.787984043380911,0.8750267260663744,0.6464295257469517,0.7353612721990416,0.8202506582779509,0.703915379421722,0.6775130724820587,0.6182873685175082,0.8352399103628536,0.11320752580990079,0.2775590523862298,0.0,0.006639004094282124,0.0,0.0395256901373245,0.0,0.0,0.0,0.0,0.0,0.0
p_19,0.9686838077827753,0.7273225472865629,0.5800453371862596,0.7897236898443007,0.0969696959902051,0.7616121130020616,0.646289915489121,0.8119463725090098,0.6489317702978198,0.6462215926348812,0.6934812746315013,0.7354452023311421,0.5080605752123581,0.7520647449746153,0.6464169855043577,0.5001378535976347,0.6620689622558179,0.04051863824539191,0.7416329526097527,0.0,0.23404255042502897,0.7256526978477282,0.5683160285436678,0.7920792073723747,0.16822429731854313,0.6775025647548728,0.5626876794985067,0.8628904820330069,0.729916028662845,0.5022274321983373,0.6214259851222838,0.7032600150203653,0.5906685892480313,0.2173615842969133,0.7991210393708835,0.0,0.3504132202445189,0.0,0.0030581039287751696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
